제목,요약
오빠 그건 오해야 [독점]," 십년지기 남사친에게 고백하려던 날, 그의 형이 벗어둔 팬티를 훔치고 말았다. “다 좋다 이거야. 내가 없는 동안 내 집에 몇 번을 드나들었든 상관없다고. 그런데 그 손에 들린 게 내 팬티라면 얘기가 달라지지 않겠어?”“팬티는 뭔......” 반사적으로 손아귀를 움켜쥐니 선물에 겹쳐진 천 조각이 손끝에 느껴졌다. “그것도 입던 팬티를.”“!”“너 아직도 마음.."
가르쳐 줘 [선공개]," 나에게는 태어날 때부터 정해진 결혼 상대가 있다.오빠의 친구였던 그는 늘 올곧고, 똑똑했으며, 듬직했고,외적으로도 내적으로도 모든 게 완벽한 사람이었다.내가 스무 살이 되던 해, 혼인신고만 마치고 해외 지사로 발령 났던 그가 예정되었던 날짜보다 1년이나 일찍 집으로 돌아왔다.“부부의 밤, 어떻게 보내는 건지 가르쳐 줘?”그리고 더는 안전한 오빠가 아니게 되.."
강제 맞선 [독점], “결혼은 사업에 도움이 되는 사람이랑 할 겁니다. 아주 비싼 값을 매겨서.” 태성 건설 대표이자 냉정한 독설가 차정한은 매사에 확실한 것을 좋아했다. “그러니까 나한테 반하면 안 돼. 윤설아.” 웃기는 소리 하지 말라고 받아치기엔 심장은 이미 그를 향해 뛰었다. “그동안 감사했습니다.” 모든 것을 정리하고 떠나기로 한 설아는 몰랐다. “지금 뭐 하고 있는 ..
나이스 비스트," ""은주야. 내 별명이 왜 나이스 비스튼 줄 알아?""명실상부한 대한민국 최고의 야구 선수, 기태는 내 소꿉친구다.""공만 보면 개처럼 뛰어가서 무조건 잡아내거든.""사람들은 그 아이의 플레이에 열광하고, 그 아이의 이름을 환호한다. 나이스 비스트 이기태! 나이스 비스트 이기태! 그런 대단한 아이가 나를 향해 돌진하기 시작했다. ""지은주, 너는 이제 내 목표점이야.."
탐하고 싶은 [선공개]," “내 죽음에 대해 정말 단 한 번도 의심한 적 없나?”5년 전 죽었다던 남편이 살아 돌아왔다.“그동안 왜 한 번도 찾아오지 않은 거죠? 5년이면 꽤 긴 시간이잖아요.”“사정이 생겼어. 당신을 데려올 시간도 필요했고.”“그런데 어떡하죠? 그동안 전 당신을 까맣게 잊고 있었는데.”다경의 마음이 닫혀 버렸다.그런 그에게 나타난 천사.“아저씨, 내 친구가 그러는데.."
"다시, 부부 [선공개]"," 자신이 평생을 매달린 골드메리의 경영 악화로사장인 아버지가 사채 빚까지 지자 희연은 마재헌을 찾아왔다.이혼한 지 벌써 2년, 그리고 약 7개월 더.“부탁이 있어서 왔어요.”“말해.”선선히 대답하는 남자와 달리 희연은 한참이나 아랫입술을 달싹였다.“돈이, 필요해요. 급하고, 금액은 조금 크고.”“조건은?”“......뭐든.”희연은 떨림을 감추기 위해 주먹을 꽉 말아.."
"소유, 짙은 갈증 [선공개]"," “그렇게 내가 치 떨리게 싫었으면 무슨 수를 써서라도 도망쳤어야지.”한수혁, 그를 다시 만난 건 정말로 우연이었다.한때는 약혼자였던 사람.그러나 유빈의 부모님이 돌아가시자마자 약혼은 깨졌다.유빈은 그에게서 달아날 수밖에 없었다.“원하는 게 뭐야?”“말하면. 달라는 대로 다 줄 건가?”“.......”“너를 달라고 하면?”7년 전, 이별을 고한 유빈을 수혁은 붙잡지.."
밤이 깊어지면," “좋아. 결혼해. 대신 몇 가지는 서로 지킬 수 있도록 계약을 좀 했으면 하는데.”“...어떤 건가요?”“첫째. 서로의 사생활은 터치하지 말 것. 내가 누굴 만나든, 어떤 여자랑 나뒹군다고 소문이 나든 너는 그냥 아무런 이야기도 하지 말아야 해.”“두 번째, 서로에게 아무런 기대도 하지 말 것. 나는 구속되는 거 딱 질색이거든.”처음부터 건호가 원해서 시작된 .."
우월한 포식자 [독점]," “유혹할 생각입니까, 날.”“진심으로 생각하지 않으신다면요.”대영그룹의 후계자이자 신설 TF팀의 본부장, 한태주.절대 가까이해서는 안 되는, 진실을 파고드는 위험한 남자.하지만 그의 나른하고 관능적인 여유와 눈빛은포식자의 페로몬처럼 재희를 옭아맸다.“어떤 의미입니까? 진심이 아니어야 된다는 말은.”“잊고 싶은 게 있어서...... 본부장님을 이용하고 싶다는 말이에.."
못된 밤 [독점][외전 추가]," “너 같으면 제정신으로 살았겠어?”그의 삐딱한 말 한마디에 영원은 먹먹함을 삼켜야만 했다.줄 듯 줄 듯 주어지지 않는.올 듯 올 듯 하다 오지 않는.짙은 죄책감을 가지고 살 수 없어서 감정을 느끼는 가슴을 도려내고, 그들을 기억하는 시간을 지웠다. “그러니 너도 이제 대가를 치러야지. 우리가 당했던 것처럼 똑같이...... 아니 시간이 지났으니 더 가혹해야 하나?.."
남편 자격 [독점]," 이혼 후 2년만의 재회였다. 더는 부부가 아니다. 우태건 부사장과 그의 상담 비서일 뿐. “그러셨잖아요. 부사장님 신임을 얻는 게 먼저라고.”“그래서 벗었나?”남자의 입매가 유연하게 휘었다. “그래서 내내 매달리고 안기셨고.”그가 손을 뻗어 서윤의 뺨을 톡 건드렸다.“두 달, 다른 남잔 만나지 맙시다.”“.......”“난 내 여자 나눠 먹는 취미는 없거든.”나긋.."
