제목,요약
악당은 살고 싶다," 회사에서 제작하던 AAA급 게임의 중간 보스.1,000번 중 999번을 죽는 악당,데큘레인.이제, 그게 나다.“거의 모든 루트에서 죽을 터인데.”데큘레인은, 악당답게 필연적으로 죽게 된다.[최우선 생존 목표 : 게임에 필요한 존재가 되시오.]죽을 운명이라면,운명을 비틀어서라도 살아남아야겠다.[악당은 살고 싶다]"
신화를 뜯어고치는 중입니다 [독점]," 신화가 변했다.미묘하게. 그리고 아예 다른 내용으로.​내가 알던 신화는 그 빛을 잃어버리고.수많은 영웅들이 전락하여 사라졌다.​그렇기에 나는 오늘도 신화 속으로 들어간다.​변해버린 수많은 신화들이, 본래의 이야기를 되찾을 수 있도록."
위저드 스톤," 어느 날 산에서 주운 작은 돌...작은 돌이 가져 온 인생의 큰 변화!나도 성공할 수 있을까? 마법사로서, 헌터로서 더 큰 세상에서의 모험이 시작된다!"
무한의 마법사, 빛의 속도로 질주하는 초신성의 폭발! 인간의 몸으로 무한을 꿈꾸다! 포대기에 싸인 채 마구간에 버려진 아이 시로네 독학으로 글을 떼고 책이라면 죽고 못 살지만 그는 천민 중의 천민인 사냥꾼의 자식 그러나 천재는 뭘 해도 천재! 두세 번의 도끼질로 나무를 쓰러트리는 전설의 기술을 성공시킨 대가로 아버지를 따라 도시로 나가 마법을 만나다!
"고구려, 삼국지를 먹다 [독점]"," 고구려 유적이 발견되었다고?친구의 꼬임에 빠져 퉁구의 고분에 발을 내딛는 순간, 축대를 잘못 쳐서 무너져내렸다.이렇게 뒈지는 줄 알았는데. 마지막으로 본 금동판에 쓰인 인물에게 빙의될 줄이야.약 2000년의 시공을 뛰어넘어 서기 197년, 고구려 왕제 계수로 눈을 뜨는 순간.""발기가 지랄했다고?""고구려의 기둥이 뽑힐 위기에 당면했다.삼국지의 듣보잡 제후인 .."
SSS급 죽어야 사는 헌터," 나도 S급 스킬이 갖고 싶다! 죽고 싶을 정도로![S급 스킬을 각성합니다.][단, 이 스킬을 쓰면 죽습니다.]...그렇다고 진짜 죽겠다는 말은 아니었는데?"
중대장은 너희에게 회귀했다 [독점], “중대장님은 미친 게 분명합니다.”“어. 중대장님 별명이 미친개야.”
검술명가 양자로 환생했다 [독점]," 위대한 전쟁 영웅 엑사 멕테라의 추도식.황제와 다른 네 영웅 앞에 모두가 허리를 숙일 때, 오롯이 소년만이 허리를 곧추세웠다.‘지들이 죽였으면서.’검술명가의 양자로 환생했다."
"고려, 신대륙에 떨어지다", 고려 시대 삼별초의 무장으로 살아남아라.그것도 남미에서.
아카데미의 천재칼잡이, 얼떨결에 회귀한 칼잡이의 세상 구하기.
스승님이 돌아왔다 [독점], 마왕 모가지를 날린 인류 최강의 검사가 다시 부활했다.그... 부활한 건 정말 좋은데 말이야.내가 세워둔 가문은 어디감?
내게 아카데미는 지옥이다 [독점]," 누구나 한 번쯤 그런 상상을 해 보고는 한다.게임이나, 소설에 빙의하면 누리게 될 판타지 라이프.검과 마법을 배우고.용이나 요정 같은 존재들과 관계를 쌓으며.명성을 얻어 떵떵거리며 사는 것.-그럼 이번에는 끝까지 살아남길 바라겠습니다.최악의 빙의였다.피로 얼룩진 바닥.깨진 창문.코끝을 찌르는 퀴퀴한 냄새.포식자들.역시 이 아카데미는 지옥이 틀림없었다."
수백 번 죽은 테이머는 악마를 이끈다 [독점]," [튜토리얼 난이도를 선택해 주십시오.]""이지.""[헬 난이도가 선택되었습니다.]""X발?""지구 멸망까지 70년.튜토리얼 오류로 헬 난이도에 갇혔다."
소드마스터가 마법사로 눈을 뜸, 반평생 전장에서 마법사를 죽이던 소드마스터.적국 마법사의 몸에서 다시 눈을 뜨다.
종말 속 뽑기로 살아남는 법, 남들 다 상태창인데...왜 나만 뽑기야?왜!!!
아카데미 플레이어를 죽였다, 플레이어를 죽였다.죽일 만한 놈이었다. 아주 X새끼였거든.
용사는 조용히 살고 싶다 [독점]," 용사.성스러운 검을 손에 들고 빛의 힘을 흩뿌리며 마를 멸하는 존재.그런 용사가 있는 세계에서, 나는 용사가 되었다.용사가 되었다면 해야 할 일은 하나. 마왕 토벌이다.하지만 왜? 왜 내가 목숨을 바쳐가며 마왕을 잡아야 하는거지?마왕이 지배하는 암흑기라고 해도, 그 이전이 어땠는지 모르니까 비교대상이 없다.내 눈에는 사람 사는 곳은 여전히 사람들끼리 모여서.."
권속 생성으로 인류 제국 건설," 빙의 직후, 가문은 나를 유배지로 추방했다.그리고 ‘권속 생성’ 능력을 얻었다.[무작위로 권속을 생성합니다.]"
킬 더 드래곤 [독점]," 머지않은 미래, 인류는 종의 운명을 건 전쟁에 돌입했다.오로지 ‘사이커’만이 ‘드래곤’을 죽일 수 있다."
검신이 돌아왔다," 개방 방주에게 그의 손자가 작은 눈망울을 반짝이며 물었다.""고금제일인이 누구냐고? 글쎄다. 누구는 혈귀를 꼽고, 누구는 뇌력권왕을 꼽고, 누구는 참성도제를 꼽고, 누구는 검신 윤 가를 꼽지만 사실 의미없는 짓이지.""""왜요, 할아버지?""""그들 모두 같은 사람이거든. 그런데 윤 가 그놈. 요새 통 안 보인단 말이지. 설마 정말로 돌아갔나?"""
더 해머 [독점]," 꽈아아아앙!칠 주야에 걸친 전투가 그 일격으로 끝이 났다.“흐, 흐흐흐. 정말 힘 하나는 끝내주는구나.”“내가 말했잖소. 뭐든 나한테 제대로 걸리면 다 한 방이라고.”생명력을 모조리 소진한 최후의 일격.마지막으로 뱉어 낸 피와 함께 의식이 흐릿해져 갈 때 들려온 목소리.“그래. 역시 자네가 가야겠어.”......뭐?그 알 수 없는 말과 함께 인생 최악의 시기로 돌.."
아카데미 편의점으로 힐링 할게요," 편의점 알바였다 즐겨하던 게임 D/Z SAGA의 악역 삼류 황자 울프람에 빙의된 이영진.아카데미에서 쫓겨나는 '데드엔딩'을 피하기 위해 매점 하나를 인수해 편의점으로 삼아 필사적으로 운영한다.스토리 진행? 그건 주역인 너희들이나 해라. 나는 편의점이나 운영하련다.온갖 다양한 편의점 상품과 아이디어로 생존에 도전하는 울프람. 하지만, 그런 달라진 울프람의 움.."
명문고 EX급 조연의 리플레이," 국민망겜 최종장을 클리어했더니 게임 속 이름 없는 조연이 되었다.규격 외 측정불가, 미지의 등급인 EX급 조연이."
망겜에 갇힌 고인물," [플레이 타임 : 기록상 35,102.2시간(평가 당시 10,125.6시간)]-겜이 컨텐츠가 부족하네요. 님들은 사지 마세요.저런 평가를 남겼는데 게임에 갇혔다.칭찬한 건데. 나쁜 놈들.저놈들도 나쁘지만 나는 왜 하필 로그라이크 게임을 열심히 했을까?갇힐 거라면 이것보다 나은 게임도 많았을 건데.죽을 때마다 처음의 순간으로 돌아가는 것도 지겹다.이름 모를 .."
KFC 변경 군단의 기사, [제6회 대한민국 웹소설 공모대전 수상작]K.F.C. (a Knight of Frontier Corps. 변경 군단의 기사)필센 제국 변경 제8구역의 멕 나이트 파일럿 루산의 이야기.[메카닉] [기사] [경영] [정치] [일상]
꽃만 키우는데 너무 강함 [독점], 살벌한 외모와 압도적인 피지컬.밸런스 붕괴급 전투력.인간병기 황재호가 뉴월드를 시작했다.그리고 꽃집을 차렸다...... 응?
게임 속 불사신 개그캐가 되었다," 용의 숨결도, 마왕의 저주도, 신의 권능마저도, 내겐 통하지 않는다."
천재 마법사는 138억 멀티버스를 본다 [독점]," 끝이라고 생각한 순간, 그는 회귀하지도, 환생하지도, 빙의하지도 않았다.대신에 천재가 목도한 것은 아득히 넓은 다중의 우주.138억 4128만 7201개의 '멀티버스(Multiverse)' 였다!"
달빛조각사, NPC한테 아부하여 밥을 얻어먹는 처세술의 대가.주야장천 수련에 몰두하는 억척의 지존. 돈을 벌겠다는 집념으로 뭉친 주인공 위드에게 게임 속 세상은 모조리 돈으로 연결된다. 그런 그가 험난한 퀘스트를 수행한 대가로 얻은 것은 전혀 돈 안 될 것 같은 '조각사'라는 직업이었다. 그러나 위드 사전에 좌절이란 없다. '전설의 달빛 조각사'가 되어 떼돈을 벌기 위..
