제목,요약
흑살마신, 마교 서열 11위. 흑살마신 천강.흡성대법의 부작용으로 단명했던 그가 환생했다.최강의 무공을 머릿속에 지닌 채.
사신 정생(死神 正生) [독점]," 노예시장에서 거둬져 이름 없는 살수로 키워진 남자는 마지막 임무를 마치고 산속 어딘가에 낙오된다. 그곳에서 한 가족을 만나 목숨을 건진 남자는 은인의 가족과 함께 평범하고 행복한 삶을 꿈꾸지만, 그 꿈은 한 악인의 존재로 산산히 깨어지고 만다.홀로 살아남은 남자, 은인에게 ‘정생’이란 이름을 얻은 그는 악인을 죽이는 협객이 되고 싶다는 꿈을 자신이 대신 이.."
마신재생 [독점], 제왕성(帝王城)의 주인이자 천하제일인 연우신이 환생했다. 하필이면 가진 것 하나 없는 소년의 몸으로.
황금세가 절대무신, 회귀를 했다.전생의 경험에 비하면 부족한 보상이었다.
절대강호 [개정판]," 악의 집합체 사악련에 맞선 정파강호의 상징 신군맹.신군맹이 키운 비밀병기 십이귀병, 그들 중 최강의 실력을 지닌 적호. “우리가 세상을 얻기 위해 자식을 죽일 때... 그는 자식을 위해 세상과 싸우고 있어. 웃기지?”신군맹 후계 자리를 차지하기 위한 대공자와 삼공녀의 치열한 암투 속에서오직 딸을 지키기 위한 적호의 투쟁이 시작된다.“맹세컨대,  내 딸을 건드리.."
세상 끝에서 온 무사 [개정판]," 첫눈이 내리던 한겨울의 어느 날.역사상 최초로 무림을 일통했던 천왕성주 주천무가 배신의 칼날 아래 쓰러졌다.그를 따랐던 모든 이들이 죽어 갈 때, 단 한 명만은 주천무의 마지막 명령을 수행하기 위해 사라졌다.제왕의 그림자라 불리며 적들에겐 죽음과 공포의 대명사였던 혈왕대주(血王隊主) 엽우(燁雨).그의 검끝이 향하는 곳에서 새로운 전설이 피어난다."
"검귀, 매화 [독점]"," 천마전쟁으로 인해 살아갈 이유를 잃은 검귀(劍鬼) 진운.그는 명예와 영광을 뒤로한 채 강호를 떠나 모습을 감춘다.​그리고 복수를 위해 강호에 돌아왔을 때, 검귀는 화산파의 미래 무영을 만나게 된다.​“그저 동행하는 것만을 허락해 주십시오! 종자로 삼으셔도 상관없습니다!”“내가 앞으로 어떤 일을 하려는지 아느냐? 나는 중원의 명문 정파들을 상대할 것이다.”​.."
남궁세가 역대급 무공 천재," 기형적인 단전으로 인해 전혀 무공을 익히지 못하지만무공을 해석하고 전개하는 머리는 가히 무림 최강이라 불리는논검무적 단천강.마교에게 납치당해 창천검신의 비급을 해석하는 일에 동원되지만,천마에 의해 죽임을 당한다.'만약...... 창천검신의 무공으로 저 악적들을 모두 도륙할 수 있다면.......'간절히 바라며 눈을 떴는데,우수한 근골을 가졌지만 우둔해 무공을 익히지 못하.."
역천도, 극한의 속도감! 폭발하는 쾌감!압도적인 몰입감에 숨죽인다!과거의 무공을 버린 순간 광천마는 죽었다.청령진천심공과 광륜.절대의 비기를 창조해 낸 순간역천의 운명은 새로이 정해졌다!지금! 단가장의 이름으로 강호를 접수한다!무림의 신화는 이제부터다!
현계지문 [독점]," *이 작품은 忘语의 소설 을 한국어로 옮긴 것입니다.어느 외진 어촌, 한 통나무집 앞에 화려한 마차와 칼로 무장한 검은 옷의 기사들이 찾아온다.석목은 그렇게 하루아침, 금씨 가문의 큰 도련님이 된다.진정한 무인이 되길 꿈꾸는 소년, 석목.그러나 천하제일의 자리란 것이 그리 쉽게 얻어질 리 있을까.저 바다 깊은 곳, 핏빛 진주를 안은 소.."
